time,assetName,volume,close,open,returnsOpenNextMktres10,urgency,takeSequence,bodySize,companyCount,volumeCounts7D
2016-04-18,Abercrombie & Fitch Co,970062,28.52,28.42,-0.049020524,0,0,0,0,0
2016-04-19,Abercrombie & Fitch Co,1227220,28.82,28.67,-0.064310372,0,0,0,0,0
2016-04-20,Abercrombie & Fitch Co,2004736,29.23,28.77,-0.087204914,0,0,0,0,0
2016-04-21,Abercrombie & Fitch Co,1393843,28.78,29.36,-0.108104343,0,0,0,0,0
2016-04-22,Abercrombie & Fitch Co,1555943,28.87,28.77,-0.099506906,0,0,0,0,0
2016-04-25,Abercrombie & Fitch Co,1633478,28.23,28.63,-0.105180122,0,0,0,0,0
2016-04-26,Abercrombie & Fitch Co,1280179,28.61,28.17,-0.112270776,0,0,0,0,0
2016-04-27,Abercrombie & Fitch Co,1746328,27.98,27.99,-0.115372314,3,1,30754,40,1
2016-04-28,Abercrombie & Fitch Co,1001069,27.35,27.83,-0.119633242,0,0,0,0,0
2016-04-29,Abercrombie & Fitch Co,1625161,26.73,27.42,-0.082680946,0,0,0,0,0
2016-05-02,Abercrombie & Fitch Co,2174859,27.21,26.85,-0.094718553,24,16,158281,257,75
2016-05-03,Abercrombie & Fitch Co,1363341,26.53,27.06,-0.114682333,0,0,0,0,0
2016-05-04,Abercrombie & Fitch Co,1231792,26.41,26.44,-0.082963907,0,0,0,0,0
2016-05-05,Abercrombie & Fitch Co,3857562,24.85,26,-0.038314706,10,9,3152,6,81
2016-05-06,Abercrombie & Fitch Co,3268347,25.05,24.8,-0.016967901,24,8,280830,262,172
2016-05-09,Abercrombie & Fitch Co,2569013,25.56,25.11,0.028717477,8,5,4047,4,85
2016-05-10,Abercrombie & Fitch Co,2687704,25.11,24.6,-0.002216716,0,0,0,0,0
2016-05-11,Abercrombie & Fitch Co,2663082,24.06,24.64,-0.102721391,0,0,0,0,0
2016-05-12,Abercrombie & Fitch Co,2559260,24.27,24.04,-0.148548741,21,7,104030,281,131
2016-05-13,Abercrombie & Fitch Co,2115995,24.04,23.9,-0.160126871,6,2,12024,22,27
2016-05-16,Abercrombie & Fitch Co,2297118,24.26,24.07,-0.168047527,0,0,0,0,0
2016-05-17,Abercrombie & Fitch Co,3999141,23.09,24.16,-0.124362185,25,9,86113,295,143
2016-05-18,Abercrombie & Fitch Co,2782412,22.9,22.92,-0.135907412,0,0,0,0,0
